Ale,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Flask,4.0,4.0,10.0,10.0,21.0,21.0,7.0,7.0,11.0,11.0,17.0,26.0,26.0,4.0,11.0,11.0,17.0,24.0,24.0
Isolate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hisD,0.315,0.355,0.241,0.275,0.38,0.415,0.315,0.30000000000000004,0.33499999999999996,0.32,0.14500000000000002,0.138,0.23,0.45499999999999996,0.23,0.1785,0.11549999999999999,0.27,0.129
pyrC,0.77,0.84,0.89,0.86,0.8,0.7,0.68,0.58,0.76,0.64,0.905,0.87,0.961,0.67,0.836,0.857,0.892,0.9,0.85
