Ale,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Flask,5.0,5.0,10.0,10.0,18.0,28.0,28.0,6.0,6.0,10.0,10.0,13.0,17.0,17.0,5.0,5.0,7.0,7.0,11.0,17.0,17.0
Isolate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gltB,0.55,0.37,0.5,0.385,0.35,0.49,0.355,0.42,0.33499999999999996,0.46499999999999997,0.505,0.555,0.5,0.455,0.51,0.33999999999999997,0.605,0.33999999999999997,0.355,0.475,0.38
hisD,0.4,0.54,0.565,0.565,0.6699999999999999,0.5,0.73,0.505,0.675,0.47000000000000003,0.54,0.535,0.6,0.645,0.45,0.575,0.48,0.6,0.675,0.58,0.67
